country,binomial
Egypt,Pachyuromys duprasi
Egypt,Panthera pardus
Egypt,Paraechinus aethiopicus
Egypt,Pipistrellus ariel
Egypt,Pipistrellus kuhlii
Egypt,Pipistrellus rueppellii
Egypt,Plecotus christii
Egypt,Procavia capensis
Egypt,Proteles cristata
Egypt,Psammomys obesus
Egypt,Rattus norvegicus
Egypt,Rhinolophus blasii
Egypt,Rhinolophus clivosus
Egypt,Rhinolophus hipposideros
Egypt,Rhinolophus mehelyi
Egypt,Rhinopoma cystops
Egypt,Rhinopoma hardwickii
Egypt,Rhinopoma microphyllum
Egypt,Rousettus aegyptiacus
Egypt,Sekeetamys calurus
Egypt,Spalax ehrenbergi
Egypt,Suncus etruscus
Egypt,Suncus murinus
Egypt,Tadarida aegyptiaca
Egypt,Tadarida teniotis
Egypt,Taphozous nudiventris
Egypt,Taphozous perforatus
Egypt,Vormela peregusna
Egypt,Vulpes cana
Egypt,Vulpes rueppellii
Egypt,Vulpes vulpes
Egypt,Vulpes zerda
India,Ailurus fulgens
India,Alticola argentatus
India,Alticola montosa
India,Alticola roylei
India,Alticola stoliczkanus
India,Anathana ellioti
India,Anourosorex assamensis
India,Anourosorex schmidi
India,Anourosorex squamipes
India,Antilope cervicapra
India,Aonyx cinereus
India,Apodemus draco
India,Apodemus latronum
India,Apodemus pallipes
India,Apodemus rusiges
India,Arctictis binturong
India,Arctogalidia trivirgata
India,Arctonyx albogularis
India,Arctonyx collaris
India,Arielulus circumdatus
India,Asellia tridens
India,Atherurus macrourus
India,Axis porcinus
India,Bandicota bengalensis
India,Bandicota indica
India,Barbastella leucomelas
India,Belomys pearsonii
India,Berylmys bowersi
India,Berylmys mackenziei
India,Berylmys manipulus
India,Biswamoyopterus biswasi
India,Boselaphus tragocamelus
India,Bubalus arnee
India,Budorcas taxicolor
India,Callosciurus erythraeus
India,Callosciurus pygerythrus
India,Canis lupus
India,Cannomys badius
India,Capra falconeri
India,Capra sibirica
India,Capricornis milneedwardsii
India,Capricornis rubidus
India,Capricornis thar
India,Caprolagus hispidus
India,Caracal caracal
India,Catopuma temminckii
India,Cervus canadensis
India,Chaerephon plicatus
India,Chimarrogale himalayica
India,Chimarrogale styani
India,Chiropodomys gliroides
India,Coelops frithii
India,Cremnomys cutchicus
India,Cremnomys elvira
India,Cricetulus alticola
India,Cricetulus migratorius
India,Crocidura andamanensis
India,Crocidura attenuata
India,Crocidura fuliginosa
India,Crocidura hispida
India,Crocidura horsfieldii
India,Crocidura jenkinsi
India,Crocidura nicobarica
India,Crocidura pullata
India,Crocidura vorax
India,Cuon alpinus
India,Cynopterus brachyotis
India,Cynopterus sphinx
India,Dacnomys millardi
India,Diomys crumpi
India,Dremomys lokriah
India,Dremomys pernyi
India,Dremomys rufigenis
India,Eoglaucomys fimbriatus
India,Eonycteris spelaea
India,Eothenomys melanogaster
India,Episoriculus caudatus
India,Episoriculus leucops
India,Episoriculus macrurus
India,Eptesicus bottae
India,Eptesicus dimissus
India,Eptesicus gobiensis
India,Eptesicus pachyotis
India,Eptesicus serotinus
India,Eptesicus tatei
India,Equus hemionus
India,Equus kiang
India,Euroscaptor micrura
India,Falsistrellus affinis
India,Felis chaus
India,Felis silvestris
India,Feroculus feroculus
India,Funambulus palmarum
India,Funambulus pennantii
India,Funambulus sublineatus
India,Funambulus tristriatus
India,Gazella bennettii
India,Gerbillus gleadowi
India,Gerbillus nanus
India,Golunda ellioti
India,Hadromys humei
India,Harpiocephalus harpia
India,Harpiola grisea
India,Helarctos malayanus
India,Hemiechinus collaris
India,Hemitragus jemlahicus
India,Herpestes auropunctatus
India,Herpestes edwardsii
India,Herpestes fuscus
India,Herpestes smithii
India,Herpestes vitticollis
India,Hesperoptenus tickelli
India,Hipposideros armiger
India,Hipposideros ater
India,Hipposideros cineraceus
India,Hipposideros diadema
India,Hipposideros durgadasi
India,Hipposideros fulvus
India,Hipposideros galeritus
India,Hipposideros hypophyllus
India,Hipposideros lankadiva
India,Hipposideros larvatus
India,Hipposideros pomona
India,Hipposideros speoris
India,Hoolock hoolock
India,Hoolock leuconedys
India,Hyaena hyaena
India,Hylopetes alboniger
India,Hylopetes phayrei
India,Hyperacrius fertilis
India,Hyperacrius wynnei
India,Hypsugo savii
India,Hystrix brachyura
India,Hystrix indica
India,Ia io
India,Kerivoula hardwickii
India,Kerivoula lenis
India,Kerivoula picta
India,Latidens salimalii
India,Leopoldamys edwardsi
India,Leopoldamys sabanus
India,Lepus capensis
India,Lepus nigricollis
India,Lepus oiostolus
India,Lepus peguensis
India,Lepus tibetanus
India,Loris lydekkerianus
India,Lutra lutra
India,Lutrogale perspicillata
India,Lynx lynx
India,Macaca arctoides
India,Macaca assamensis
India,Macaca fascicularis
India,Macaca leonina
India,Macaca mulatta
India,Macaca munzala
India,Macaca radiata
India,Macaca silenus
India,Macroglossus sobrinus
India,Madromys blanfordi
India,Manis crassicaudata
India,Manis pentadactyla
India,Marmota caudata
India,Marmota himalayana
India,Martes flavigula
India,Martes foina
India,Martes gwatkinsii
India,Megaderma lyra
India,Megaderma spasma
India,Megaerops niphanae
India,Mellivora capensis
India,Melogale moschata
India,Melogale personata
India,Melursus ursinus
India,Meriones hurrianae
India,Micromys minutus
India,Microtus clarkei
India,Millardia gleadowi
India,Millardia kondana
India,Millardia meltada
India,Moschiola indica
India,Moschus chrysogaster
India,Moschus cupreus
India,Moschus fuscus
India,Moschus leucogaster
India,Muntiacus gongshanensis
India,Muntiacus putaoensis
India,Muntiacus vaginalis
India,Murina aurata
India,Murina cyclotis
India,Murina huttoni
India,Murina tubinaris
India,Mus booduga
India,Mus cervicolor
India,Mus cookii
India,Mus famulus
India,Mus pahari
India,Mus phillipsi
India,Mus platythrix
India,Mus saxicola
India,Mus terricolor
India,Mustela altaica
India,Mustela erminea
India,Mustela kathiah
India,Mustela sibirica
India,Mustela strigidorsa
India,Myotis annectans
India,Myotis blythii
India,Myotis csorbai
India,Myotis formosus
India,Myotis hasseltii
India,Myotis horsfieldii
India,Myotis laniger
India,Myotis longipes
India,Myotis montivagus
India,Myotis muricola
India,Myotis nipalensis
India,Myotis sicarius
India,Myotis siligorensis
India,Naemorhedus baileyi
India,Naemorhedus goral
India,Naemorhedus griseus
India,Nectogale elegans
India,Neodon forresti
India,Neodon sikimensis
India,Neofelis nebulosa
India,Neotetracus sinensis
India,Nesokia indica
India,Nilgiritragus hylocrius
India,Niviventer brahma
India,Niviventer confucianus
India,Niviventer eha
India,Niviventer fulvescens
India,Niviventer langbianis
India,Niviventer niviventer
India,Nyctalus leisleri
India,Nyctalus montanus
India,Nycticebus bengalensis
India,Ochotona curzoniae
India,Ochotona forresti
India,Ochotona ladacensis
India,Ochotona macrotis
India,Ochotona nubrica
India,Ochotona roylei
India,Ochotona thibetana
India,Otocolobus manul
India,Otomops wroughtoni
India,Otonycteris hemprichii
